Demo_RDM,Subject,ROI,RSA_Score with p-value
layer_3_pca.pkl,sub08,LOC,"(0.10190909378733774, 0.0)"
layer_3_pca.pkl,sub08,PPA,"(0.051608674744323596, 0.0)"
layer_3_pca.pkl,sub08,STS,"(0.07803174369222309, 0.0)"
layer_3_pca.pkl,sub08,V1,"(0.11780259174936634, 0.0)"
layer_3_pca.pkl,sub08,V2,"(0.07909552606420657, 0.0)"
layer_3_pca.pkl,sub08,V3,"(0.06635278856914018, 0.0)"
layer_3_pca.pkl,sub08,V4,"(0.06656707175145644, 0.0)"
layer_3_pca.pkl,sub09,EBA,"(0.0807023255183703, 0.0)"
layer_3_pca.pkl,sub09,FFA,"(0.07650815126084712, 0.0)"
layer_3_pca.pkl,sub09,LOC,"(0.0979565828132364, 0.0)"
layer_3_pca.pkl,sub09,PPA,"(0.06460454749076243, 0.0)"
layer_3_pca.pkl,sub09,STS,"(0.047388004169406646, 0.0)"
layer_3_pca.pkl,sub09,V1,"(0.09563109121475542, 0.0)"
layer_3_pca.pkl,sub09,V2,"(0.10065044491713274, 0.0)"
layer_3_pca.pkl,sub09,V3,"(0.09224050934494503, 0.0)"
layer_3_pca.pkl,sub09,V4,"(0.08514487366427775, 0.0)"
layer_3_pca.pkl,sub10,EBA,"(0.07265958058006375, 0.0)"
layer_3_pca.pkl,sub10,FFA,"(0.039238447615431486, 0.0)"
layer_3_pca.pkl,sub10,LOC,"(0.08448825057643147, 0.0)"
layer_3_pca.pkl,sub10,PPA,"(0.05026019140265482, 0.0)"
layer_3_pca.pkl,sub10,STS,"(0.04814572351930282, 0.0)"
layer_3_pca.pkl,sub10,V1,"(0.12245861586207527, 0.0)"
layer_3_pca.pkl,sub10,V2,"(0.11406421748601049, 0.0)"
layer_3_pca.pkl,sub10,V3,"(0.08546522171577998, 0.0)"
layer_3_pca.pkl,sub10,V4,"(0.04560972826241327, 0.0)"
layer_4_pca.pkl,sub01,EBA,"(0.11859259147413026, 0.0)"
layer_4_pca.pkl,sub01,FFA,"(0.05960437366336981, 0.0)"
layer_4_pca.pkl,sub01,LOC,"(0.15826529237875417, 0.0)"
layer_4_pca.pkl,sub01,PPA,"(0.08036258179670594, 0.0)"
layer_4_pca.pkl,sub01,STS,"(0.07428854239455701, 0.0)"
layer_4_pca.pkl,sub01,V1,"(0.0951917755933992, 0.0)"
layer_4_pca.pkl,sub01,V2,"(0.10515074305658045, 0.0)"
layer_4_pca.pkl,sub01,V3,"(0.11415191483842975, 0.0)"
layer_4_pca.pkl,sub01,V4,"(0.08676119547626172, 0.0)"
layer_4_pca.pkl,sub02,EBA,"(0.14166073801255713, 0.0)"
layer_4_pca.pkl,sub02,FFA,"(0.07761235881048949, 0.0)"
