Demo_RDM,Subject,ROI,RSA_Score
layer_2_pca.pkl,sub10,V3,0.061976047137730535
layer_2_pca.pkl,sub10,V4,0.03581687645207876
layer_3_pca.pkl,sub01,EBA,0.08244565599286627
layer_3_pca.pkl,sub01,FFA,0.040006578882470015
layer_3_pca.pkl,sub01,LOC,0.10617822397588457
layer_3_pca.pkl,sub01,PPA,0.05280802796320522
layer_3_pca.pkl,sub01,STS,0.0631577441486182
layer_3_pca.pkl,sub01,V1,0.09022267523736612
layer_3_pca.pkl,sub01,V2,0.09171645469861939
layer_3_pca.pkl,sub01,V3,0.09016115042651589
layer_3_pca.pkl,sub01,V4,0.05985626970303964
layer_3_pca.pkl,sub02,EBA,0.11122373397292555
layer_3_pca.pkl,sub02,FFA,0.052977242068389024
layer_3_pca.pkl,sub02,LOC,0.0904217965652083
layer_3_pca.pkl,sub02,PPA,0.04066350622046708
layer_3_pca.pkl,sub02,STS,0.03507489351292633
layer_3_pca.pkl,sub02,V1,0.12861598955535222
layer_3_pca.pkl,sub02,V2,0.08916454315784919
layer_3_pca.pkl,sub02,V3,0.07421281959538185
layer_3_pca.pkl,sub02,V4,0.06833500166988671
layer_3_pca.pkl,sub03,EBA,0.1015326108219659
layer_3_pca.pkl,sub03,FFA,0.06061147891395057
layer_3_pca.pkl,sub03,LOC,0.0993356126713362
layer_3_pca.pkl,sub03,PPA,0.04980902719267302
layer_3_pca.pkl,sub03,STS,0.06324484997843285
layer_3_pca.pkl,sub03,V1,0.05935190536757319
layer_3_pca.pkl,sub03,V2,0.09514831277467614
layer_3_pca.pkl,sub03,V3,0.07940039268515973
layer_3_pca.pkl,sub03,V4,0.049198254177890685
layer_3_pca.pkl,sub04,EBA,0.09266044895909065
layer_3_pca.pkl,sub04,FFA,0.0694124520297267
layer_3_pca.pkl,sub04,LOC,0.1134640594264992
layer_3_pca.pkl,sub04,PPA,0.05197906039009624
layer_3_pca.pkl,sub04,STS,0.06188484653833722
layer_3_pca.pkl,sub04,V1,0.12552156342028137
layer_3_pca.pkl,sub04,V2,0.1059133566589829
layer_3_pca.pkl,sub04,V3,0.09251109402933269
layer_3_pca.pkl,sub04,V4,0.06230063818299717
layer_3_pca.pkl,sub05,EBA,0.09701365481742433
layer_3_pca.pkl,sub05,FFA,0.04851168575764215
layer_3_pca.pkl,sub05,LOC,0.11370464316381479
layer_3_pca.pkl,sub05,PPA,0.053088582615355116
